city,domain,contain,,,,,
,corvallisoregon-internal.data.socrata.com,,,,,,
,costamesaca.data.socrata.com,,,,,,
,cravencountync.data.socrata.com,,,,,,
,cravenso.data.socrata.com,,,,,,
,cthru.data.socrata.com,,,,,,
,culvercityca.data.socrata.com,,,,,,
,cutlerbay-fl.data.socrata.com,,,,,,
,dashboard.edmonton.ca,,,,,,
,data.acgov.org,,,,,,
,data.calgary.ca,,,,,,
,data.cityofberkeley.info,,,,,,
,data.cityofevanston.org,,,,,,
,data.cityofgainesville.org,,,,,,
,data.cityofgp.com,,,,,,
,data.cityoftacoma.org,,,,,,
,data.countyofriverside.us,,,,,,
,data.culvercity.org,,,,,,
,data.datacenterresearch.org,,,,,,
,data.douglas.co.us,,,,,,
,data.edmonton.ca,,,,,,
,data.livewellsd.org,,,,,,
,data.marincounty.org,,,,,,
,data.miamigov.com,,,,,,
,data.montgomeryschoolsmd.org,,,,,,
,data.nhitc.org,,,,,,
,data.novascotia.ca,,,,,,
,data.orcities.org,,,,,,
,data.oxnard.org,,,,,,
,data.princeedwardisland.ca,,,,,,
,data.qac.org,,,,,,
,data.ramseycounty.us,,,,,,
,data.richmondgov.com,,,,,,
,data.roseville.ca.us,,,,,,
,data.sccgov.org,,,,,,
,data.smcgov.org,,,,,,
,data.strathcona.ca,,,,,,
,data.sustainablesm.org,,,,,,
,data.tompsc.com,,,,,,
,data.tuscaloosa.com,,,,,,
,data.urbanaillinois.us,,,,,,
,data.waterpointdata.org,,,,,,
,data.wcad.org,,,,,,
,data.weho.org,,,,,,
,data.winnipeg.ca,,,,,,
,datahub.smcgov.org,,,,,,
,datahub.usac.org,,,,,,
,dccourts.data.socrata.com,,,,,,
,dcsheriff.data.socrata.com,,,,,,
,dcwater-opendata.socrata.com,,,,,,
,dedhamma.data.socrata.com,,,,,,
,delawarecountyoh-sheriff.data.socrata.com,,,,,,
